,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
96,Kabinda,100,CD,1602181395,83,-6.13,24.48,71.69,2.84
97,Fort Myers Beach,20,US,1602181395,55,26.45,-81.95,91.99,10.29
98,Harper,88,LR,1602181396,87,4.38,-7.72,77.59,10.33
99,Kaitangata,1,NZ,1602181396,71,-46.28,169.85,44.01,4.29
100,Mossamedes,43,AO,1602181396,86,-15.2,12.15,65.19,6.78
101,Haines Junction,100,CA,1602181396,82,60.75,-137.51,37.83,2.53
102,Oktyabr'skoye,0,RU,1602181396,93,43.06,44.74,48.0,6.71
103,Tautira,20,PF,1602181396,74,-17.73,-149.15,80.6,4.7
104,Laas,40,IT,1602181396,81,46.62,10.7,52.0,3.36
105,Tineo,90,ES,1602181397,93,43.34,-6.41,64.99,1.9
106,Castro,30,BR,1602181342,39,-24.79,-50.01,86.7,13.38
107,Capitão Poço,0,BR,1602181397,26,-1.75,-47.06,99.73,6.58
108,Sola,75,VU,1602181397,88,-13.88,167.55,80.6,5.82
109,Kruisfontein,83,ZA,1602181397,85,-34.0,24.73,64.0,3.0
110,Llangefni,34,GB,1602181397,76,53.26,-4.31,54.0,5.82
111,Sisimiut,86,GL,1602181398,72,66.94,-53.67,36.84,13.69
112,Miles City,1,US,1602181398,36,46.41,-105.84,64.4,4.7
113,Bad Bevensen,75,DE,1602181398,93,53.08,10.58,60.01,14.99
114,Aklavik,90,CA,1602181398,93,68.22,-135.01,35.6,10.29
115,Vrangel',0,RU,1602181398,59,42.73,133.08,51.39,6.24
116,Alyangula,89,AU,1602181398,94,-13.85,136.42,69.8,7.31
117,Comodoro Rivadavia,40,AR,1602181258,33,-45.87,-67.5,62.6,16.11
118,Cassilândia,39,BR,1602181401,16,-19.11,-51.73,102.74,9.95
119,Hirara,62,JP,1602181401,77,24.8,125.28,78.62,17.22
120,Mar del Plata,20,AR,1602181177,36,-38.0,-57.56,64.4,14.99
121,Matamoros,5,MX,1602181401,28,25.53,-103.25,80.6,5.64
122,Kaeo,95,NZ,1602181401,79,-35.1,173.78,57.99,11.01
123,Upernavik,22,GL,1602181401,90,72.79,-56.15,32.2,8.63
124,Aswān,0,EG,1602181401,13,24.09,32.91,95.65,9.48
125,Tilichiki,19,RU,1602181402,92,60.47,166.1,26.1,9.4
126,Avarua,34,CK,1602181402,94,-21.21,-159.78,77.0,17.22
127,East London,20,ZA,1602181402,93,-33.02,27.91,66.2,11.41
128,Longyearbyen,75,SJ,1602181347,81,78.22,15.64,39.2,13.87
129,Ajdabiya,45,LY,1602181402,76,30.76,20.23,73.18,15.37
130,San Patricio,75,US,1602181402,55,28.02,-97.52,90.0,14.99
131,Beloit,5,US,1602181211,37,42.51,-89.03,68.0,4.7
132,Tasiilaq,20,GL,1602181403,69,65.61,-37.64,39.2,5.82
133,Hasaki,75,JP,1602181403,93,35.73,140.83,60.8,11.41
134,Kargasok,99,RU,1602181403,98,59.06,80.86,32.38,11.99
135,Akdepe,0,TM,1602181403,79,42.06,59.38,50.0,11.41
136,Ngunguru,99,NZ,1602181403,79,-35.62,174.5,57.99,11.01
137,Biak,80,ID,1602181404,82,-0.91,122.88,77.25,0.85
138,Livingston,6,GB,1602181142,81,55.9,-3.52,46.99,8.05
139,Visby,40,SE,1602181404,82,57.64,18.3,57.0,12.75
140,Alofi,100,NU,1602181404,94,-19.06,-169.92,75.2,4.7
141,Bilibino,100,RU,1602181404,95,68.05,166.44,21.4,2.37
142,Mount Isa,0,AU,1602181404,24,-20.73,139.5,69.8,13.87
143,Dongli,20,CN,1602181404,83,23.57,116.82,69.8,2.24
144,Tezu,13,IN,1602181405,78,27.92,96.17,75.07,3.11
145,Riviere-au-Renard,90,CA,1602181405,70,49.0,-64.4,46.4,25.28
146,Port Elizabeth,75,ZA,1602181405,93,-33.92,25.57,64.4,13.87
147,Bay Roberts,86,CA,1602181405,37,47.6,-53.26,60.01,20.76
148,Qaanaaq,95,GL,1602181405,77,77.48,-69.36,17.51,7.0
149,Carutapera,85,BR,1602181405,59,-1.2,-46.02,86.05,9.53
150,San Quintín,28,MX,1602181405,62,30.48,-115.95,73.49,12.17
151,Buritis,41,BR,1602181406,11,-15.62,-46.42,106.5,3.89
152,Lagoa,94,PT,1602181406,75,39.05,-27.98,71.31,0.54
153,Nemuro,69,JP,1602181406,68,43.32,145.57,53.08,10.04
154,Martos,94,ES,1602181406,41,37.72,-3.97,73.0,4.0
155,Arraial do Cabo,75,BR,1602181406,88,-22.97,-42.03,77.0,8.05
156,Ndélé,87,CF,1602181406,97,8.41,20.65,69.93,1.52
157,Pontianak,100,ID,1602181406,86,-0.03,109.33,78.1,4.85
158,Esso,2,RU,1602181407,91,55.93,158.7,28.56,5.57
159,Port Moresby,75,PG,1602181407,78,-9.44,147.18,77.0,8.05
160,Lebu,35,CL,1602181407,74,-37.62,-73.65,54.86,7.47
161,Oktyabr'skiy,100,RU,1602181407,63,54.48,53.47,45.36,8.01
162,Belyy Yar,75,RU,1602181407,96,53.6,91.39,32.0,4.47
163,Fatehpur,0,IN,1602181407,46,25.93,80.8,78.31,1.77
164,Hofn,0,IS,1602181408,66,64.25,-15.21,45.43,6.06
165,Bambous Virieux,40,MU,1602181408,88,-20.34,57.76,75.0,6.93
166,Khatanga,87,RU,1602181408,97,71.97,102.5,18.7,8.16
167,Marsh Harbour,5,BS,1602181408,65,26.54,-77.06,82.92,8.3
168,Tuatapere,3,NZ,1602181408,92,-46.13,167.68,33.01,1.99
169,Turukhansk,100,RU,1602181408,99,65.82,87.98,29.3,13.98
170,Christchurch,0,NZ,1602181112,86,-43.53,172.63,39.0,2.24
171,Saint-Pierre,75,RE,1602181409,94,-21.34,55.48,73.4,4.7
172,Saldanha,22,ZA,1602181409,77,-33.01,17.94,60.8,16.11
173,El Alto,70,PE,1602181409,64,-4.27,-81.21,75.2,13.87
174,Sitka,75,US,1602181410,87,57.05,-135.33,46.4,3.36
175,Kibre Mengist,42,ET,1602181410,90,5.88,38.98,59.52,1.63
176,Husavik,90,IS,1602181410,86,66.04,-17.34,41.0,2.24
177,Tunceli,0,TR,1602181412,26,39.11,39.55,59.0,3.36
178,Tutóia,96,BR,1602181412,64,-2.76,-42.27,83.98,13.87
179,Kangaatsiaq,33,GL,1602181412,85,68.31,-53.46,30.47,14.5
180,Rio Verde de Mato Grosso,19,BR,1602181413,15,-18.92,-54.84,106.75,7.65
181,Acaraú,82,BR,1602181413,60,-2.89,-40.12,85.01,20.02
182,Cravo Norte,100,CO,1602181413,78,6.3,-70.2,80.44,2.19
183,Ati,87,TD,1602181413,19,13.22,18.34,95.47,6.4
184,Voloshka,100,RU,1602181413,95,61.33,40.09,51.67,4.52
185,Barrow,90,US,1602181413,96,71.29,-156.79,32.0,26.4
186,Amarkantak,87,IN,1602181414,100,22.67,81.75,66.79,3.47
187,Campbellton,88,CA,1602181414,56,48.01,-66.67,46.29,21.47
188,Saint George,1,US,1602181378,11,37.1,-113.58,80.01,3.53
189,Veseloyarsk,51,RU,1602181414,96,51.28,81.11,29.26,5.57
190,Villa Carlos Paz,10,AR,1602181414,26,-31.42,-64.5,82.0,8.05
191,Campos Belos,39,BR,1602181414,10,-13.04,-46.77,104.41,5.79
192,Kaoma,75,ZM,1602181414,74,-14.78,24.8,67.66,9.24
193,Alamogordo,1,US,1602181415,13,32.9,-105.96,81.0,9.17
194,Payakumbuh,100,ID,1602181415,90,-0.22,100.63,69.03,2.95
195,Bowen,61,AU,1602181415,93,-20.02,148.23,59.0,5.75
196,Ilulissat,20,GL,1602181415,89,69.22,-51.1,32.0,5.82
197,Sept-Îles,75,CA,1602181415,61,50.2,-66.38,48.2,21.92
198,Waingapu,4,ID,1602181415,79,-9.66,120.26,78.35,5.12
199,Kavieng,88,PG,1602181416,75,-2.57,150.8,81.75,5.77
200,Hilo,75,US,1602181204,56,19.73,-155.09,77.0,6.93
201,Krasnorechenskiy,0,RU,1602181416,86,44.63,135.35,35.28,2.89
202,Cajamarca,75,PE,1602181416,28,-7.16,-78.5,73.4,8.05
203,Roald,75,NO,1602181416,93,62.58,6.13,50.0,9.17
204,Makakilo City,1,US,1602181254,69,21.35,-158.09,80.6,4.7
205,Chokurdakh,90,RU,1602181416,98,70.63,147.92,23.38,8.77
206,Vestmannaeyjar,20,IS,1602181416,81,63.44,-20.27,44.6,11.41
207,Mahébourg,40,MU,1602181417,88,-20.41,57.7,73.4,6.93
208,Beipiao,100,CN,1602181417,54,41.79,120.78,57.74,7.96
209,Ishinomaki,100,JP,1602181417,86,38.42,141.3,56.21,6.29
210,Kerman,20,IR,1602181417,18,30.28,57.08,71.6,4.7
211,Laguna,1,US,1602181417,67,38.42,-121.42,64.99,8.05
212,Glace Bay,75,CA,1602181213,93,46.2,-59.96,55.99,24.16
213,Berlevåg,40,NO,1602181418,81,70.86,29.09,50.0,13.87
214,Port Macquarie,0,AU,1602181180,99,-31.43,152.92,57.99,3.96
215,Mozarlândia,0,BR,1602181418,10,-14.74,-50.57,110.41,3.76
216,Korla,16,CN,1602181418,34,41.76,86.15,53.19,7.29
217,Monrovia,75,LR,1602181418,83,6.3,-10.8,80.6,7.67
218,Mizdah,0,LY,1602181418,58,31.45,12.98,70.81,14.27
219,Bandar-e Lengeh,0,IR,1602181418,70,26.56,54.88,86.0,10.04
220,Ahipara,93,NZ,1602181419,80,-35.17,173.17,56.95,13.33
221,Katsuura,90,JP,1602181171,88,35.13,140.3,62.6,11.41
222,Garissa,46,KE,1602181419,60,-0.45,39.64,83.35,20.09
223,Bagamoyo,20,TZ,1602181419,78,-6.43,38.9,80.6,11.41
224,Vila Velha,75,BR,1602181419,78,-20.33,-40.29,82.0,13.87
225,Vega de Alatorre,71,MX,1602181419,42,20.03,-96.63,87.08,16.71
226,Zomin,12,UZ,1602181420,49,39.96,68.4,45.7,5.17
227,Paamiut,100,GL,1602181420,83,61.99,-49.67,42.1,9.37
228,Saskylakh,51,RU,1602181420,91,71.92,114.08,11.59,9.62
229,Zabul Province,0,AF,1602181420,33,32.25,67.25,56.44,9.6
230,Cayenne,4,GF,1602181420,55,4.93,-52.33,89.6,14.99
231,Kieta,23,PG,1602181420,80,-6.22,155.63,78.42,4.45
232,Pirapora,30,BR,1602181420,13,-17.34,-44.94,104.0,5.59
233,Saint Paul Harbor,90,US,1602181421,93,57.79,-152.41,48.2,3.36
234,Santa Cruz,40,MA,1602181421,88,30.42,-9.6,66.2,10.29
235,Bairiki Village,20,KI,1602181421,74,1.33,172.98,80.6,13.87
236,Seydi,52,TM,1602181423,41,39.48,62.91,50.88,13.78
237,La Paz,20,BO,1602181391,41,-16.5,-68.15,64.4,12.75
238,Călăraşi,75,MD,1602181423,93,47.25,28.31,63.0,8.05
239,Jiayuguan City,1,CN,1602181423,51,39.82,98.3,45.99,1.14
240,Gijang,75,KR,1602181424,48,35.24,129.21,64.4,17.22
241,Yumen,5,CN,1602181424,59,40.28,97.2,41.72,5.64
242,Iwanai,0,JP,1602181424,67,42.97,140.51,45.41,2.89
243,Kazachinskoye,98,RU,1602181424,94,57.7,93.28,28.18,3.4
244,Lodeynoye Pole,100,RU,1602181424,93,60.73,33.55,54.75,4.43
245,Iqaluit,75,CA,1602181424,94,63.75,-68.51,32.0,5.26
246,Sur,0,OM,1602181425,55,22.57,59.53,79.68,8.88
247,Turaif,3,SA,1602181425,23,31.67,38.66,77.0,9.17
248,Dakar,75,SN,1602181425,83,14.69,-17.44,84.2,13.87
249,Coquimbo,39,CL,1602181368,63,-29.95,-71.34,62.6,17.22
250,Malakal,21,SS,1602181425,73,9.53,31.66,78.84,4.32
251,Aksu,39,CN,1602181425,39,41.12,80.26,53.1,3.87
252,Mirny,40,RU,1602181425,68,62.54,113.96,26.6,4.47
253,Torbay,75,CA,1602181425,82,47.67,-52.73,60.01,24.16
254,Haukipudas,86,FI,1602181426,87,65.18,25.35,53.6,10.29
255,Anadyr,90,RU,1602181426,95,64.75,177.48,32.0,13.42
256,São Filipe,65,CV,1602181426,80,14.9,-24.5,81.79,11.5
257,Tazovsky,100,RU,1602181426,95,67.47,78.7,35.67,17.36
258,Pangnirtung,90,CA,1602181426,86,66.15,-65.71,33.8,14.99
259,Norman Wells,90,CA,1602181426,93,65.28,-126.83,37.4,2.24
260,Cabo San Lucas,5,MX,1602181299,52,22.89,-109.91,95.0,8.05
261,Poum,1,NC,1602181427,77,-20.23,164.02,72.99,11.23
262,São Félix do Xingu,57,BR,1602181427,24,-6.64,-51.99,101.32,3.8
263,Graaff-Reinet,92,ZA,1602181427,68,-32.25,24.53,66.99,5.01
264,Bosaso,0,SO,1602181427,54,11.28,49.18,82.06,4.05
265,Morganton,1,US,1602181203,39,35.75,-81.68,86.0,3.36
266,Mitú,99,CO,1602181201,76,1.2,-70.17,82.42,3.06
267,Baruun-Urt,0,MN,1602181428,68,46.68,113.28,39.88,9.91
268,Mehamn,40,NO,1602181428,81,71.04,27.85,51.8,13.87
269,Havelock,1,US,1602181428,48,34.88,-76.9,84.0,8.05
270,Oddur,73,SO,1602181428,75,4.12,43.89,74.98,13.51
271,Āsosa,3,ET,1602181428,77,10.07,34.53,64.17,4.43
272,Malbork,100,PL,1602181428,100,54.04,19.03,53.01,11.7
273,St. George's,40,GD,1602181429,74,12.06,-61.75,86.0,17.22
274,Yerbogachën,61,RU,1602181429,98,61.28,108.01,28.11,6.82
275,Kamaishi,100,JP,1602181429,78,39.27,141.88,55.09,4.65
276,Narsaq,75,GL,1602181429,93,60.92,-46.05,39.2,1.12
277,Yangi Marg`ilon,88,UZ,1602181429,41,40.43,71.72,57.2,2.24
278,Back Mountain,80,US,1602181429,55,41.34,-76.0,57.0,5.99
279,Borūjerd,0,IR,1602181430,14,33.9,48.75,78.8,2.24
280,Kamenka,5,RU,1602181430,39,51.32,42.77,48.0,10.76
281,Maraã,27,BR,1602181430,47,-1.83,-65.37,92.32,2.55
282,Korhogo,73,CI,1602181430,83,9.45,-5.63,78.44,4.14
283,Port Blair,100,IN,1602181430,78,11.67,92.75,79.41,1.97
284,Carnarvon,0,AU,1602181430,88,-24.87,113.63,64.4,10.29
285,Oderzo,10,IT,1602181430,75,45.79,12.5,62.01,1.01
286,Shingū,100,JP,1602181430,93,33.73,135.98,65.55,24.27
287,São José da Coroa Grande,20,BR,1602181431,72,-8.9,-35.15,81.12,11.56
288,São João da Barra,75,BR,1602181240,78,-21.64,-41.05,80.6,9.17
289,Buta,72,CD,1602181431,98,2.79,24.73,69.71,1.68
290,Grand Gaube,16,MU,1602181431,82,-20.01,57.66,75.0,5.01
291,Pevek,100,RU,1602181431,97,69.7,170.31,31.89,18.32
292,Kānker,3,IN,1602181431,88,20.27,81.49,75.18,2.98
293,Batangafo,100,CF,1602181432,95,7.3,18.28,67.78,3.71
294,Katrineholm,100,SE,1602181432,87,59.0,16.21,55.4,4.7
295,Porto Recanati,4,IT,1602181434,47,43.44,13.66,62.01,1.01
296,Rafaela,0,AR,1602181434,19,-31.25,-61.49,88.0,3.0
297,Vostok,4,RU,1602181434,98,46.49,135.88,31.93,4.81
298,Mangit,98,UZ,1602181434,41,40.6,70.96,57.2,2.24
299,Talnakh,90,RU,1602181434,100,69.49,88.4,30.2,15.66
300,North Myrtle Beach,1,US,1602181435,54,33.82,-78.68,86.0,6.93
301,Palmares,35,BR,1602181435,57,-8.68,-35.59,85.66,11.18
302,Köröstarcsa,46,HU,1602181435,74,46.88,21.03,57.99,3.0
303,Bartica,75,GY,1602181435,59,6.4,-58.62,91.4,11.41
304,Hurricane,1,US,1602181241,11,37.18,-113.29,82.4,4.18
305,Waddān,0,LY,1602181435,43,29.16,16.14,79.97,13.44
306,Huntsville,1,US,1602181226,50,34.73,-86.59,81.0,5.82
307,Dom Pedrito,53,BR,1602181436,57,-30.98,-54.67,72.07,7.65
308,Maubin,75,MM,1602181436,94,16.73,95.65,78.8,2.24
309,Yeniseysk,88,RU,1602181436,97,58.45,92.17,27.63,3.36
310,Banjarmasin,90,ID,1602181436,94,-3.32,114.59,78.8,2.75
311,Marystown,90,CA,1602181436,100,47.17,-55.15,60.01,11.99
312,Valley Station,75,US,1602181436,29,38.11,-85.87,79.0,4.7
313,Hambantota,90,LK,1602181437,80,6.12,81.12,79.56,17.2
314,Hidalgotitlán,90,MX,1602181437,62,17.78,-94.63,86.0,1.39
315,Santiago del Estero,92,AR,1602181437,26,-27.8,-64.26,88.05,8.01
316,Quatre Cocos,40,MU,1602181437,88,-20.21,57.76,75.0,6.93
317,Faya,0,SA,1602181437,22,18.39,42.45,71.6,10.29
318,Slatyne,73,UA,1602181437,31,50.22,36.16,60.8,15.66
319,Mikhaylovka,2,RU,1602181438,41,50.06,43.24,52.23,11.79
320,Forsytheganj,100,BY,1602181438,93,52.63,29.73,59.27,6.11
321,Aljezur,63,PT,1602181438,80,37.32,-8.8,66.0,3.74
322,Ţaga,90,RO,1602181438,93,46.95,24.05,57.2,9.17
323,Avera,1,US,1602181438,42,33.19,-82.53,84.2,3.36
324,Andenes,75,NO,1602181438,87,69.31,16.12,50.0,4.7
325,Şabyā,0,SA,1602181438,70,17.15,42.63,89.6,3.36
326,Ola,0,RU,1602181438,75,59.58,151.28,37.35,2.37
327,Teya,77,RU,1602181439,95,60.38,92.63,25.16,5.32
328,Port Lincoln,67,AU,1602181439,84,-34.73,135.87,49.57,7.81
329,Chernyshevskiy,92,RU,1602181439,98,63.01,112.47,28.51,6.76
330,Rairangpur,53,IN,1602181439,90,22.27,86.18,76.48,2.26
331,Burdur,40,TR,1602181439,64,37.72,30.29,69.8,8.05
332,Pushchino,98,RU,1602181440,39,54.83,37.63,51.8,8.95
333,Skibbereen,20,IE,1602181440,71,51.55,-9.27,50.0,10.29
334,Jackson,20,US,1602181440,54,42.42,-122.83,55.4,1.81
335,Rio Tuba,100,PH,1602181440,79,8.51,117.43,80.06,5.39
336,Chara,81,RU,1602181441,86,56.91,118.26,33.64,0.89
337,Beruwala,99,LK,1602181441,81,6.48,79.98,79.77,7.49
338,Plettenberg Bay,96,ZA,1602181441,87,-34.05,23.37,60.8,9.73
339,Bongandanga,35,CD,1602181441,96,1.5,21.05,71.28,3.83
340,Goderich,37,CA,1602181441,74,43.75,-81.72,61.0,17.22
341,Yichun,0,CN,1602181441,87,47.7,128.9,37.27,2.35
342,Chapais,90,CA,1602181442,64,49.78,-74.85,35.6,13.87
343,Marfino,93,RU,1602181442,43,55.7,37.38,59.0,6.71
344,Cibitoke Province,78,BI,1602181442,55,-2.88,29.25,70.86,2.98
345,Bengkulu,100,ID,1602181442,85,-3.8,102.27,74.17,3.53
346,Salcedo,100,PH,1602181442,94,12.81,121.47,76.08,1.48
347,Neuquén,67,AR,1602181442,28,-38.95,-68.06,69.8,14.99
348,Grindavik,40,IS,1602181442,86,63.84,-22.43,41.0,12.75
349,Guymon,1,US,1602181443,15,36.68,-101.48,89.6,19.46
350,Rožňava,20,SK,1602181443,93,48.66,20.54,55.4,2.24
351,Markala,6,ML,1602181443,32,13.7,-6.07,94.28,5.21
352,Firminópolis,52,BR,1602181443,11,-16.58,-50.3,103.84,1.74
353,Clyde River,75,CA,1602181443,92,70.47,-68.59,23.0,8.05
354,Armizonskoye,52,RU,1602181445,93,55.95,67.67,31.69,8.28
355,Matagami,90,CA,1602181445,56,49.75,-77.63,41.0,11.41
356,Pisco,19,PE,1602181445,72,-13.7,-76.22,68.0,9.17
357,Whyalla,10,AU,1602181446,100,-33.03,137.58,42.8,4.7
358,Kuressaare,20,EE,1602181446,87,58.25,22.5,55.99,12.75
359,Balaipungut,20,ID,1602181446,83,1.05,101.28,78.8,0.72
360,Maningrida,99,AU,1602181446,74,-12.07,134.27,76.87,6.08
361,Souillac,40,MU,1602181446,88,-20.52,57.52,73.4,6.93
362,Nelson Bay,0,AU,1602181222,59,-32.72,152.15,62.01,11.41
363,Aginskoye,100,RU,1602181447,85,51.1,114.53,38.82,9.93
364,Nanortalik,100,GL,1602181447,86,60.14,-45.24,39.83,11.54
365,Bukama,86,CD,1602181447,64,-9.2,25.85,79.25,1.83
366,Yeppoon,1,AU,1602181447,87,-23.13,150.73,60.8,2.82
367,Havre-St-Pierre,90,CA,1602181447,93,50.23,-63.6,51.8,8.05
368,Vágur,0,FO,1602181447,68,61.47,-6.81,47.88,13.13
369,Juan Lacaze,0,UY,1602181447,59,-34.43,-57.44,72.0,9.17
370,Triggiano,20,IT,1602181447,55,41.07,16.93,66.0,11.41
371,Sechura,17,PE,1602181448,54,-5.56,-80.82,75.51,13.04
